"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @PCYDKSL00KS: Happy birthday to kyungsoo’s bestie loey 🎉🥳🥰

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편 https://t.co/PMN2z…",FALSE,0,NA,2021-11-27 13:45:56,FALSE,NA,"1464591320492621824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charleeyynnnn",844,TRUE,FALSE,NA,NA
"RT @ParkChanyeolINA: 211127 #CHANYEOL Last Curtain Call 'A Song of Meissa'

Cr JUPITER_EXO
#찬열 #메이사의노래 
#HAPPYCHANYEOLDAY https://t.co/efHS…",FALSE,0,NA,2021-11-27 13:45:56,FALSE,NA,"1464591319934722048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ParkPlesir",71,TRUE,FALSE,NA,NA
"@27xCHANYEOL 2
HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편
@weareoneEXO",FALSE,0,"27xCHANYEOL",2021-11-27 13:45:55,FALSE,"1464590494470586377","1464591316575088649","1101886838279614464","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_jjareu",0,FALSE,FALSE,NA,NA
"RT @bbhperhour: happy birthday chanyeol 🥳🎂 

#HappyChanyeolDay https://t.co/kdj8iZURAC",FALSE,0,NA,2021-11-27 13:45:54,FALSE,NA,"1464591314876387330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chanmae_6125",727,TRUE,FALSE,NA,NA
"@ParkChanyeolINA HAPPY BROJOL DAY YEOL😻😻
#OurMeissaChanyeolDay 
#HappyChanyeolDay 
#찬열아생일축하해 
#항상찬열이편 #CHANYEOL https://t.co/oOTS4QZZ4m",FALSE,0,"ParkChanyeolINA",2021-11-27 13:45:54,FALSE,"1464588325042282499","1464591314415017990","986133314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hooneyycoves_",0,FALSE,FALSE,NA,NA
"RT @chichalee22: 💛😃🐯happy CHANYEOL day🍒🏀💛
     🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂

#HappyChanyeolDay #찬열아생일축하해
#OurMeissaChanyeolDay
#EXO #ตะหู้ของคูมม๊า
@weareon…",FALSE,0,NA,2021-11-27 13:45:54,FALSE,NA,"1464591312410198016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tobd_kj",831,TRUE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해 #HappyVirus  
#항상찬열이편 @weareoneEXO",FALSE,0,"sehunfangirlll",2021-11-27 13:45:54,FALSE,"1464591294357913602","1464591311206453250","1224948281236545536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sehunfangirlll",0,FALSE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편
@weareoneEXO 174",FALSE,0,"sluvsee",2021-11-27 13:45:53,FALSE,"1464569470978977792","1464591310220713990","1414595219035549699","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sluvsee",0,FALSE,FALSE,NA,NA
"RT @hrjbbh: To celebrate #HappyChanyeolDay‌, here's a mini-giveaway to everyone who loves Chanyeol ☺️

-100 PHP GCash
-3 Winners

-LIKE + R…",FALSE,0,NA,2021-11-27 13:45:53,FALSE,NA,"1464591309751357441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nikkimunar",178,TRUE,FALSE,NA,NA
"RT @jwicheese: #jwiga 

happy loey day!  ◡̈

✷ 100 gcash ga

ᥫ᭡ 1 winner
ᥫ᭡ like &amp; rt
ᥫ᭡ mbf
ᥫ᭡ ends tomorrow 9:00 pm

reply w these:

#Our…",FALSE,0,NA,2021-11-27 13:45:53,FALSE,NA,"1464591309692301320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hyeolane",362,TRUE,FALSE,NA,NA
